 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Email, Latitude, Longitude
RVS Hospital Blood Bank,Tamil Nadu,COIMBATORE,Coimbatore,"242-B, Trichy Rd,Mathiyalagan Nagar,Sulur,  ",641402,"0422 2682942, 0422 2682943",,11.028425,77.134135
Government Hospital Blood Bank,Tamil Nadu,COIMBATORE,Pollachi,"Government Hospital, NH209,Mahalingapuram,Udumalpet Road,Pollachi",642001,04259 229322,cmopollachi@gmail.com,10.658046,77.009584
Pollachi Blood Bank Services,Tamil Nadu,COIMBATORE,Pollachi,"No : 6, Kanitha methai Ramaujam Street, Venkatesa Colony, Pollachi",642001,04259 223414,willpharma_india@yahoo.com,10.665479,77.007079
Rajah Muthiah Medical College and Hospital Blood Bank,Tamil Nadu,CUDDALORE,Chidambaram,"Annamalai Nagar, Chidambaram",608202,"04144 238147, Extn 28",pathormmcau2014@gmail.com,11.398477,79.718821
Kamaraj Government Hospital Blood Bank,Tamil Nadu,CUDDALORE,Chidambaram,"S.P.Kovil Street, Chidamabaram bus stand, Chidambaram",638001,04144 223099,bloodbankcdm@gmail.com,11.394771,79.699614
Hi Tech Blood Bank and Research Foundation,Tamil Nadu,CUDDALORE,Cuddalore,"No. 2, Chinnappa Mudali Street Manja Kuppam",1,04142 230977,hitechbloodbank2003@gmail.com,,
Government Hospital Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"Government  Hospital, Viruduchalam (T.K)",606001,04143 231766,vdmbloodbank@gmail.com,11.515577,79.316767
Government Head Quarters Hospital Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"Nellikuppam road, Cuddalore",607001,04142 292052,cuddalorebloodbank@gmail.com ,11.756684,79.759266
Blood Donor Association Blood Bank,Tamil Nadu,CUDDALORE,Cuddalore,"No. 17A, Hospital Road , Cuddalore",607001,"04142 231711,  04142 231715",,,
Neyveli Lignite Corporation,Tamil Nadu,CUDDALORE,Neyveli,"NH532, M.K Colony, Neyveli, Tamil Nadu",607802,"04142 2522784, 04142 28364613",nlcghbloodbank@gmail.com,11.537043,79.467181
Dharmapuri Medical College Hospital Blood Bank,Tamil Nadu,DHARMAPURI,Dharmapuri,"3/29A, Nethaji Bye Pass Road, Kamalakhsmi Colony,
Dharmapuri",636701,04342 231748,bloodbankdpi@gmail.com,12.122192,78.156738
Ashok Blood Bank and Clinical Laboratory,Tamil Nadu,DHARMAPURI,Dharmapuri,"No. 63A, Sengodipuram Road IInd Floor, Dharmapuri",636702,0434 2260627,ashok123.ak@gmail.com,12.132581,78.161182
Om Sakthi Blood Bank,Tamil Nadu,DHARMAPURI,Dharmapuri,"No 4 Sengodipuram, Dharmapuri",636701,"04342 260388, 04342 261388",omsakthihospital@gmail.com,12.132676,78.161652
Christian Community Health Center and Hospital Blood Bank,Tamil Nadu,DINDIGUL,Ambilikai,"Shanthipuram, Ambilikkai, Tamil Nadu ",624612,04553 249050,pbjacobcherian@gmail.com,10.545977,77.725236
St.Joseph Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"Chennai Theni Highway, Nehruji Nagar",624001,"04512 421130, 04512 426091, 04512 430399",,10.370257,77.980644
Indian Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"2/2 Spencor&#39;s Compound
",20,0451 2429393,djegadesh78@gmail.com,,
Dindigul Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"No. 28/2, Veppan thoppu street, Palani Road, Dindigul",624001,0451 2427143   ext. 2429812,dglbloodbank99@gmail.com,10.366656,77.977708
Government Head quarters Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"Trichy Road,New bus stand, Opp to North police station
",624001,04511 2424600,bloodbankdindigul@gmail.com,10.363893,77.976364
Leonard Hospital Blood Bank,Tamil Nadu,DINDIGUL,Dindigul,"SH 155, Arunachalapuram, Batlagundu",624202,04543 262670,holyleonard@gmail.com,10.165505,77.760672
Palani Blood Bank (Run by Annai Educational Trust),Tamil Nadu,DINDIGUL,Dindigul,"49, Dindigal Road, 1st Floor, Opposite to Government  Hospital, Dindigul",624601,04545 245501,palanibloodbank@gmail.com,,
Kasturba Hospital Blood Bank,Tamil Nadu,DINDIGUL,Gandhigram,Gandhigram,624302,04510 2452328,,,
Christian Fellowship Hospital Blood Bank,Tamil Nadu,DINDIGUL,Oddanchataram,"Dindigul Main Road, Oddanchathram",624619,"04553 241226,04553 241379",cfh@sancharnet.in,10.48803,77.751707
Government Hospital Blood Bank,Tamil Nadu,DINDIGUL,Palani,"Dindigul Road, South Anna Nagar, Palani",624601,04542 248553,bloodbankghpalani@gmail.com,10.448498,77.516908
Erode Blood Bank and Clinical Laboratory,Tamil Nadu,ERODE,Erode,"No. 43, Patel Road, 1st Floor,Erode",638001,04242 253163,,11.336191,77.718506
Kongu Blood Bank,Tamil Nadu,ERODE,Erode,"TS No. 51/1E Ist floor, Perundurai Road",638011,"0424 2263537, 0424 2263536",,11.340634,77.715943
Lotus Blood Bank,Tamil Nadu,ERODE,Erode,(Lotus Apollo Hospital) Poonthurai Main Road,638002,04242 282828,drusha@gmail.com,11.326009,77.730096
Lions Club of Erode Supreme Charitable Trust Blood Bank,Tamil Nadu,ERODE,Erode,"No. 27 S.K.C Road, Erode ",638001,"0424 2257744, 0424 2277733, 0424 2277732",lionsbberd@gmail.com,,
Dhanvantri Charitable Trust Blood Bank,Tamil Nadu,ERODE,Erode,"No.1. Old Post office Road, Sathyamangalam",638001,04295 2233322,,,
IRT Perunthurai Medical College Hospital Blood Bank,Tamil Nadu,ERODE,Erode,"Perundurai, Erode ",638053,04294 220910  ,,11.280826,77.567496
Idayam Hospitals Erode Limited Blood Bank,Tamil Nadu,ERODE,Erode,"No.15, Palaniappa Street",638009,04242 256456,,,
Sri Saanthi Blood Bank (Run by Kaveri trust),Tamil Nadu,ERODE,Erode ,"6-9, kandappa Lane, Brough Road, Erode",638001,,,,
Government Head quarters Hospital Blood Bank Erode,Tamil Nadu,ERODE,Erode,Erode,,,,,
Government Hospital Blood Bank,Tamil Nadu,ERODE,Gobichettipalayam,"Government Hospital, Gobichettipalayam",638452,04285 227153,bbghgobi@gmail.com,11.456457,77.428786
Sri Ram Blood Bank,Tamil Nadu,ERODE,Gobichettipalayam,"4/28, Govt Hospital Road, Gobichettipalayam, ",638452,"04285 222596, 04285 222 224",sreramdc@gmail.com,11.455893,77.42957
Chengalpattu Medical College Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpattu,"Anna Nagar, Chengalpattu",603001,"044 27431909, 044 2743 1221",bbcmchcpt@gmail.com,12.677617,79.98029
Shri Sathya Sai Medical College and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpattu,"Tiruporur - Guduvancherry Main Road, Ammapettai, Chengalpat",603108,044 27440700044 27440346   044 2744 0347,sathyasais@yahoo.in,12.746312,80.132393
Essar Blood Bank,Tamil Nadu,KANCHIPURAM,Chengalpet,"Arumbakkam Sri AS rajagopalan trust,  No 16. alagesan Road, Vedachalam Nagar",,,,,
"Military Hospital Blood Bank, St. Thomas Mount",Tamil Nadu,KANCHIPURAM,Chennai,"Defence Colony 1st Ave,Ekkatuthangal, Chennai",600016,044 25316500,,13.024872,80.199193
Meenakshi Medical College Hospital and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram,"Enathur, Karrapettai Post, Kanchipuram",631552,"044 27264096, 044 27261339","mmchri@gmail.com, bbmmchri@gmail.com",12.872611,79.723864
Government Aringnar Anna Memorial Cancer Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram," Bangalore High Road, Karaipettai",631552,"044 27264244, 044 27264246",bloodbankkanchipuram@gmail.com,12.86981,79.715799
Government Head Quarters Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kanchipuram,"Hospital Road, Kanchipuram",631501,"044 27222307, 044 272223308",bloodbankkanchipuram@gmail.com,12.832978,79.710277
Annai Medical College and Hospital Blood Bank (Run by Sri Devi Karumari Amman Educational Trust),Tamil Nadu,KANCHIPURAM,Kanchipuram,"1st Floor Casuality Block, Dr. G. Jayarama Nagar, Pennatur, Sri Perumbudur Taluk",602117,044 27162100,,12.97068,79.976376
SRM Medical College Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Kattangulathur,"SRM Nagar, Potheri, Kattankulathur, Kancheepuram",603203,"044 27455707, 044 2745 5510",,12.822849,80.048734
Chettinad Hospital and Research Institute Blood Bank,Tamil Nadu,KANCHIPURAM,Kelambakkam,"SH 121, Rajiv Gandhi Salai, Kelambakkam ",603103,044 4741000,,12.794973,80.216129
Madurantakam Government Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Madurantakam,"Hospital Road, Madurantakam",603306,044 27555216,ghmadhurantagam@gmail.com,12.50908,79.890064
Karpaga Vinayaga Institute of Medical Sciences Blood Bank,Tamil Nadu,KANCHIPURAM,Maduranthagam,"GST Road, Chinna Kolambakkam, Palayanoor P.O.
Madurantagam Taluk.
",603308,044 27566050  044 2759 8484,,12.592392,79.911956
Government Hospital Tambaram Blood Bank,Tamil Nadu,KANCHIPURAM,Tambaram,"Government Hospital Tambaram, GST Road, Chrompet",600044,044  22382400,bloodbanktambram@gmail.com,12.9456,80.134345
Saveetha Medical College and Hospital Blood Bank (A unit of Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,KANCHIPURAM,Thandalam,"S.No. 302/1, Mavalur kuppam Village, Saveetha Nagar, Thandalam",602105,044 26810299,,,
Deen Dayal Hospital Blood Bank,Tamil Nadu,KANCHIPURAM,Thiruvallur,"No. 61, Deen Dayal Nagar, Kunnavalam Post, Tirupati Road,Thiruvallur Taluk,Tamil Nadu ",631210,044 27677700,,13.177496,79.810762
M/s Marthandam Blood Bank,Tamil Nadu,Kanyakumari,Kanya Kumari,"2/64, AIFB Hospital Building, Junction Main Road, Marthandam",,,,,
Sree Mookambika Institute Medical Science Blood Bank,Tamil Nadu,Kanyakumari,Kanyakumari,"14-9C 15, Ist Floor, Medical College Hospital Building, Padanilam, Kulasekaram",629161,04651 2788250,,8.361102,77.292365
Government Head Quarters Hospital Blood Bank,Tamil Nadu,Kanyakumari,Kanyakumari,"Padmanabhapuram, Thuckalay, Kanyakumari",629175,04651 256023,,8.247696,77.313237
"M/S Indian Medical Centre, Dr Kumarsawamy Health Center",Tamil Nadu,Kanyakumari,Kanyakumari,"Perumal Puram, Kottaram Post",629703,,,,
Catherine Booth Hospital Blood Bank (Run By The Salvation Army),Tamil Nadu,Kanyakumari,Nagarcoil,"M/s.  The Salvation Army Catherine Booth Hospital,
Arunachalam Colony, Nagercoil",629001,"04652 275516, 04652 275517",oesolomon@gmail.com,8.200027,77.43068
Kanyakumari Medical College Hospital Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"KGMCH,  Asaripallam",629003,04652 236949,bbkgmch@gmail.com,8.172512,77.392704
AV Rajan Blood Transfusion Services Clinical and Research Laboratories,Tamil Nadu,Kanyakumari,Nagercoil,"No. 20/6-75 PWD Road, Rajappa Campus, Chettikulam, Nagercoil",629012,04652 225427,,,
Royal Blood Bank  (Run by Royal Medical Trust),Tamil Nadu,Kanyakumari,Nagercoil,"No. 40/2 197 PWD Office Road, Peria Nadar Street, Nagerkoil",629001,04652 229903,,,
Kanya Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"No.173 A/1, K.P. Road, Ramavarmapuram, Nagercoil",629 001,"04652 279850, 04652 273951",kanyablood@rediffmail.com,8.17554,77.429731
Vivek Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil," 253, K-11,  K.P. Road, Nagercoil",629003,"04652 230108, 04652 234408",viveklaboratories@gmail.com,8.184559,77.410413
Dr. Jeyasekharan Medical Trust and Nursing Home Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"No. 253, KP Road, Nagercoil, Kanyakumari, ",629003,"04652 230019,0465 230020,04652 230021  ",jeyasekhranmedicaltrust@gmail.com,8.184416,77.409869
Thangam Blood Bank (Run by Thangam Chartiable Community Health Trust) William Hospital,Tamil Nadu,Kanyakumari,Nagercoil,"No 252, II floor, william hospital complex, Krishnan Koil, Nagerkoil",629003,04652 277955,,8.191431,77.423288
Bensam Hospital Blood Bank,Tamil Nadu,Kanyakumari,Nagercoil,"Kalliancaud, NH 66, Nagercoil",629003,"04652 232532, 04652 232533, 04652 232534, 04652 232535",bensamhospital2008@gmail.com,8.189676,77.412207
Lords Blood Bank (Run By Rajamony Memorial Educational Charitable Trust),Tamil Nadu,Kanyakumari,Nagercoil,"129, Main Road, Opposite to R.C. Church",629003,04651 231112,lordsonkannan@gmail.com,,
Siventhi Blood Bank (Siventhi Medical Trust),Tamil Nadu,Kanyakumari,Nagerkoil,"1/1 � 344 -A, M.S. Road,  Nagarkovil",629003,"04652 221221, 04652 221331",,,
Kanyakumari Medical Mission CSI Hospital Blood Bank,Tamil Nadu,Kanyakumari,Neyoor,"CSI Hospital, SH 180,Neyyoor",629802,04651 222222,,8.211518,77.302952
Karur Blood Bank,Tamil Nadu,KARUR,Karur,"No. 196/29, Kamarajapuram",639002,"0432 4236177, 0432 4236188",jwilliamskbbjw@yahoo.com,10.963696,78.069084
Government Head Quarters Hospital Blood Bank,Tamil Nadu,KARUR,Karur,"Government Headquarters Hospital, Karur",639001,0432 4260197,karurgh@gmail.com,10.962277,78.080228
M/S. Rainbow Blood Bank ( Run by rainbow Health &Educational Trust) ,Tamil Nadu,KARUR,Karur,"40 car street, Karur",639001,,,,
M/s Karur Voluntary Blood Bank and Laboratary,Tamil Nadu,KARUR,Karur,20 Kamachi Amman Koil Street,639001,,,,
M/S TCR Blood Bank ( Run by TCR hospital & Charitable Trust),Tamil Nadu,KRISHNAGIRI, Krishnagiri,"TCR Multi Speciality Hospital, No.1/450, Avvai Nagar,Near LIC, Krishnagiri.",635001,04343 239393,tcrblood@gmail.com,12.5186,78.2137
Government Hospital Blood Bank,Tamil Nadu,KRISHNAGIRI,Hosur,"SH 17, Denkanikotta Road, Hosur, 
",635109,04344 222635,ictchosur@gmail.com,12.72911,77.825456
Arogya Blood Bank (A Unit of Arogya Seva Hospitals Private Limited),Tamil Nadu,KRISHNAGIRI,Hosur,"35 Opposite CSI church , Denkanikottai road,
New Temple Land Hudco, Shanthi Nagar East, Hosur",635109,04344 225555 ,bloodbank.hosur@kauveryhospital.com,12.728397,77.824389
Life Care Voluntary Blood Bank (Run by Life Care Trust),Tamil Nadu,KRISHNAGIRI,Hosur,"Venus Arcade, No.2, Ground Floor and First Floor, Old Telephone Exchange Road, Near Parimalam School, Hosur",635109,04344 221716,hosurlifecarebloodbank@gmail.com,,
Government Head Quarters Hospital Blood Bank,Tamil Nadu,KRISHNAGIRI,Krishnagiri,"Gandhi Road, Old pet, Krishnagiri",635001,04343 238880,krishnagiribs53@yahoo.in,12.524837,78.220022
Karunya Hospital Blood Bank,Tamil Nadu,KRISHNAGIRI,Krishnagiri,"No.46,  Ist Cross Co-Operative Colony",635001,04343 235512,,,
Government Rajaji Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"Government Rajaji Hospital, Madurai",625002,0452 2520950,maduraighs5@gmail.com,9.926986,78.131758
Meenakshi Mission Hospital and Research Centre Blood Bank,Tamil Nadu,MADURAI,Madurai,"Lake Area, Melur Road, Madurai, Tamil Nadu ",625107,0452 2588741  ,info@mmhrc.in,9.947597,78.162318
Thai Moogambigai Blood Bank and Clinical Laboratory,Tamil Nadu,MADURAI,Madurai,"No. 3 Ground Floor (Northern Side),  Javahar Cross Street,  Gandhi Nagar",625020,0452 2535685,,,
The Apollo Speciality Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"No.14 Deputy Collectors Colony, Lake View Road, K.K. Nagar, Madurai",625020,0452 2581147,,9.927966,78.148775
Vadamalayan Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"Vadamalayan Hospital, No.9B, PT Rajan Road, Chokkikulam, Reserve Police Line",625002,0452 2545400,bloodbank@vadamalayan.org,9.942846,78.130616
Sivan Blood Bank Run by Lakshmiammal Memorial Trust,Tamil Nadu,MADURAI,Madurai,"Plot No.10, D.No. 58A Kuruvikaran Salai, 1st Cross Street, Aringnar Anna Nagar",625020,0452 2536562,sivanbloodbank@yahoo.com,9.923292,78.140268
Velammal Medical College Hospital and Reserach Institute Blood Bank,Tamil Nadu,MADURAI,Madurai,"Velammal Village, Madurai-Tuticorin Ring Road, Anuppanadi
Madurai",625009,0452 25110033  ,vmchbb@gmail.com,9.887094,78.150868
Satyam Blood Bank,Tamil Nadu,MADURAI,Madurai,No. 21C Old Kuyavar Palayam Road ,625009,0452 2330327,,,
Annai Abirami Blood Bank,Tamil Nadu,MADURAI,Madurai,"171/1, Opposite S K G & CO, South Masi Street, Kondaiyanaidu Ln, Periyar, Madurai Main",625001,0452 2339750,,9.915247,78.119525
Vignesh Blood Bank,Tamil Nadu,MADURAI,Madurai,No. 101 Sivaganga Road,625020,04522 582562,,,
Madhura Blood Bank,Tamil Nadu,MADURAI,Madurai,"51 A, Harvey Nagar Main Road, Arasaradi",625011,0452 4352535,,,
Christian Mission Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"E Veli St. Old Kuyavar Palayam Salai, Madurai Main, Madurai",625001,"0452 2326458, 0452 2326294",maduraicmhlab@gmail.com,9.915951,78.125557
Government Head Quarters Hospital Blood Bank,Tamil Nadu,MADURAI,Madurai,"Government  Head quarters Hospital, Usilampatti, Madurai ",625532,04552 252185,bloodbankghqhust@gmail.com,9.962367,77.788596
M/S Jeevan Blood Bank,Tamil Nadu,MADURAI,Madurai,"Plot No.363, East 4th Cross street, KK Nagar",625020,,,,
Government Hospital Blood Bank,Tamil Nadu,NAGAPATTINAM,Mayiladuthurai,"GovernmentHospital, MainRoad, Mayiladuthurai",609001,04364 223451,bbmyd@gmail.com,11.10168,79.647377
Government Head Quarters Hospital Blood Bank,Tamil Nadu,NAGAPATTINAM,Nagapattinam,"Government Head Quarters Hospital, Nagapattinam",611001,04365 248600,ctbnagai2014@gmail.com,10.77284,79.843885
Bharath Clinical Laboratory and Blood Bank,Tamil Nadu,NAMAKKAL,Namakkal,"No. 71/13, Trichy Main Road, Namakkal",637001,04286 22002705,hitechlab1983@gmail.com,,
Shharc Charity Blood Bank,Tamil Nadu,NAMAKKAL,Namakkal,"39A, Dr. Shankaram Road, Gandhi Nagar (Near BSNL Office), Namakkal",637001,0428 6234552,,11.215701,78.168668
Government Head Quarters Hospital Blood Bank,Tamil Nadu,NAMAKKAL,Namakkal,"Government Head Quarters Hospital, Namakkal",637001,04286 221411,bbnamakkal@gmail.com,11.216752,78.168939
Government Hospital Blood Bank,Tamil Nadu,NAMAKKAL,Rasipuram,"Government  Hospital, Rasipuram",637408,04287 222878,cmorasipuram@gmail.com,11.461112,78.185127
Government Hospital Blood Bank Thiruchengode,Tamil Nadu,NAMAKKAL,Thiruchengode,"Thiruchengode, Namakkal.",,,,,
Vivekanandha Medical Care Hospital Blood Bank,Tamil Nadu,NAMAKKAL,Tiruchengkodu,"SF No.20/1,2, Elayampalayam, Tiruchengodu",637205,04288 234677,,,
Government Head Quarters Hospital Blood Bank,Tamil Nadu,PERAMBALUR,Perambalur,"Government  Head Quarters Hospital,Thuraiyur Main Road, Perambalur",621212,04328 277128,perambalurbloodbank@gmail.com,11.23657,78.860775
Muthu Medical Center Blood Bank (Muthu Charitable Trust),Tamil Nadu,PERAMBALUR,Perambalur,"No.153 Mettu Street  Opposite to Vegetable Market Perambalur, Tamil Nadu",621212,0432 8277477,muthu_lab@yahoo.com,11.238114,78.864898
Dhanalakshmi Srinivasan Medical College and Hospital Blood Bank,Tamil Nadu,PERAMBALUR,Siruvachur,"1st floor Diagnostic Block, Trichy � Chennai Highways (NH 45) Siruvachur, Perambaulur",621113,04328 327999,dsmedicalcollege@gmail.com,11.198683,78.872944
M/S Kanakesa Thevar Memorial Hospital Blood Bank,Tamil Nadu,PUDUKKOTTAI,Pattukottai,"No 66 Chinnaiah Street, Pattukottai",614601,,,,
Sree Meenakshi Multi Speciality Hospital Blood Bank (Run by Ayyamperumal and K Dakshinamoorthy Trust),Tamil Nadu,PUDUKKOTTAI,Pudukkottai,"4215, South 4th Street,Pudukkottai",622001,04322 220234,,,
Government Head Quarters Hospital Blood Bank,Tamil Nadu,PUDUKKOTTAI,Pudukkottai,"Government Head Quarters Hospital, Santhanathapuram
Pudukkottai",622001,04332 228111,pudukottabb@gmail.com,10.378804,78.818264
Government Hospital Blood Bank,Tamil Nadu,PUDUKKOTTAI,Pudukkottai,"The Medical Officer,  Taluk Government  Hospital, Aranthangi",616614,04371 270544 ,aranthangibb@gmail.com,10.180049,79.000136
Government Headquarters Hospital Blood Bank,Tamil Nadu,RAMANATHAPURAM,Ramanathapuram,"Government Headquarters Hospital, Ramanathapuram",623501,04567 228178,ramanathapurambb17@gmail.com,9.363747,78.831928
M/S Ramnad Blood Bank( Run by C.Lakshmiammal Memorial Trust),Tamil Nadu,RAMANATHAPURAM,Ramanathapuram,"No.1/225, &#34;Malligai illam&#34; Mahasakthi Nagar",625503,,,,
Government Hospital Blood Bank,Tamil Nadu,SALEM,Attur,"Cuddalore Main Road, Attur, Salem District
",636102,04282 243771,bbghattur@gmail.com,11.59695,78.60139
Annai Blood Bank,Tamil Nadu,SALEM,Attur,"104/1, 1st floor, Sadagopar Street, North Udayarpalayam",636102,04282 241401,annaibloodbankattur@gmail.com,,
Government Head Quarters Hospital Blood Bank,Tamil Nadu,SALEM,Metturdam,"Government Head Quarters Hospital, Mettur Dam",636401,04298 245400,bbmettuegh@gmail.com,11.795825,77.798916
Government Mohan Kumaramangalam Medical College Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"Super Specialty Block, Steel Plant Main Road, Salem",636001,"04272 210964,0427 238 3313",salemghbloodbank@gmail.com,11.656585,78.153948
Sri Gokulam Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"No. 3/60, Mayanur Road, Salem",636004,"0427 2448171, 0427 2448176",,11.672702,78.133827
Sithi Vinayagar Blood Bank,Tamil Nadu,SALEM,Salem,"No, 1C Vidhyalaya Road, Salem",636007,"0427 2312577, 0427 2316440  ",svbb_slm@yahoo.com,11.671281,78.151721
Vinayaga Mission Kirubananda Variar Medical College Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"Sankari Main Road, Chinna Seeragapadi, Salem",636308,0427 3982000,,11.585415,78.06378
KSM Blood Bank (Run by Maruti Charitable Trust),Tamil Nadu,SALEM,Salem,"245/10 , 5th Cross street, Brindavan Road, Fairlands, Salem 
",636016,"0427 2446788,  0427 2445453 ",ksmbloodbank224@yahoo.com,11.666537,78.143476
Salem Blood Bank,Tamil Nadu,SALEM,Salem,"Run by SHHARC Charity Trust, 2A 3rd Agraharam,  (Opposite to Kasiwiswanathar Temple), Salem
",636001,04272 265432,salembloodbanks@gmail.com,11.659085,78.168204
Kurinji Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"Tee Jay salai, Five Roads, Salem
",636016,"0427 2433321, 0427 2433300, 0427 2433301, 0427 2433302",kurinjihospital@yahoo.co.in,11.677233,78.135322
Maruti Blood Bank,Tamil Nadu,SALEM,Salem,"Door No. 5, 5/1, Srinivasa Complex, (First Floor) Ram Nagar, Meyyanur, Salem",636004,"0427 2444962, 0427 4040110",maruthibloodbank@gmail.com,11.672426,78.136187
Sivaramji Blood Bank (Unit of Janaseva Trust),Tamil Nadu,SALEM,Salem,"No 266, Omalur main road",636007,"0427 2318003, 0427 2416760",,,
Salem Steel Authority of India Salem Steel Plant,Tamil Nadu,SALEM,Salem,"Mohan Nagar, Salem",636013,0427 2388263,,11.654349,78.025247
Minu Labs and Blood Bank,Tamil Nadu,SALEM,Salem,"7.A/4, Ramakrishna Road, (Rajaji Road)",636007,"0427 2318881, 0427 2332425",,11.675357,78.131943
S Palaniyandi Mudaliar Memorial Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"No. 29 Cuddalore Road,  Ammapet, Salem
",636003,"0427 2244500, 0427 2240394, 0427 2240395 ",spmmhospital@gmail.com,11.661224,78.192156
Sri Shellapha Hospital Blood Bank,Tamil Nadu,SALEM,Salem,"239, Rajaram  Nagar, Near Gandhi Stadium, Salem
",636007,"0427 2421266, 0427 2421277",shrishellapha@gmail.com,11.659832,78.154862
M/S SKS Hospital Blood Bank ( Unit of SKS Hospital (I) Private Limited),Tamil Nadu,SALEM,Salem,"No 50/2, First Floor, Brindavan Road, Alagapuram",636004,,,,
KaraiKudi Blood Centre (Run by Vivekananda Trust),Tamil Nadu,SIVAGANGA,KaraiKudi,"1st Floor, No.24/7, Ayyanar Puram 2nd Street",623001,04565 401644,kbcbloodbank@gmail.com,,
Government Sivagangai Medical College Hospital Blood Bank,Tamil Nadu,SIVAGANGA,Sivagangai,"Vanieyankudi, Sivagangai
",630561,04575 246356,bloodbanksvg@gmail.com,9.838881,78.478259
Government Head Quarters Hospital Blood Bank,Tamil Nadu,SIVAGANGA,Sivagangai,"Government Head Quarters Hospital, Karaikudi, Sivagangai District
",630 004,04565 221782,govtbloodbankkaraikudi@gmail.com,10.063948,78.777174
Sri Kaali Blood Bank,Tamil Nadu,THANJAVUR,Kumbakonam,"No. 165A Gandhi Adigal Salai, Kumbakonam,  Tamil Nadu ",612001,0435 242 6037,kalibloodbank@gmail.com,10.956521,79.37494
Government Head Quarters Hospital Blood Bank,Tamil Nadu,THANJAVUR,Kumbakonam,"Government Head Quarters Hospital, Dr. Moorthy Road, Kumbakonam",612001,0435 2425104,bbghqh.kum@gmail.com,10.969246,79.385655
Government Hospital Blood Bank,Tamil Nadu,THANJAVUR,Pattukkottai,"Palaniappan St.Nadimuthu Nagar, Pattukkottai, ",614601,04373 252080,bb.gn.pkt@gmail.com,10.421081,79.317866
Thanjavur Medical College Hospital Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"Thanjavur Medical College Hospital, Thanjavur",613004,"04362 246452, 04362 240951, 04362 240124",bb.tmch.tnjr@gmail.com,10.758601,79.106601
Sri Kaali Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"No. 32 Thirunagar, Thanjavur",613009,0435 2426037,kalibloodbank@gmail.com,10.785119,79.120603
Voluntary Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"No. 2936 West Main Road, Thanjavur",613009,,,,
KMR Blood Bank (Run by KMR Charitable Trust),Tamil Nadu,THANJAVUR,Thanjavur,"113A, (First Floor) Arulandha Nagar 7th Cross, Thanjavur",613007,,,,
Government Raja Mirasudar Hospital,Tamil Nadu,THANJAVUR,Thanjavur,"Government Raja Mirasudar Hospital, Thanjavur",613001,04362 276880,bb.rmh.tnjr@gmail.com,10.785541,79.1366
Ambigai Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"No, 1877/1 West Main Road, Thanjavur",613009,"04362 239032, 04362 32525",,,
Lakshminarayana Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"No. 190 ,11 th cross,  Arulananda Ammal Nagar",613007,04362 255485 ,lnbb2001@yahoo.com,10.764582,79.134439
Indian Red Cross Society Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"Indian Red Cross Society, 43/C, Al - Seraj Building, Medical College Road",613001,"04362 273456, 04362 273456, 04362  278333",sec.thanjavur@gmail.com,10.776729,79.12912
Meenakshi Hospital Blood Bank,Tamil Nadu,THANJAVUR,Thanjavur,"SF No.244/2, 3rd Floor, Nilagiri Therkku Thottam Village,  Near New Bus Stand, Trichy Main Road, Tanjore
",613005,0436 2226474,bloodbank@mht.org.in,10.745435,79.111902
Government Lawley Hospital Blood Bank,Tamil Nadu,THE NILGIRIS,Coonoor,"Government Lawley Hospital, Coonoor",643102,0423 2231050,ghcoonoorbb@gmail.com,11.347494,76.792608
